total,lvl1,lvl2,lvl3,total gold,sallary,income,months,income per month
210,60,50,100,150000,169763,-19763,13,-1520,
130,60,60,10,150000,64935,85065,8,10633,
140,60,60,20,150000,91476,58524,10,5852,
150,60,60,30,150000,96615,53385,10,5338,
160,60,60,40,150000,113712,36288,11,3298,
170,60,60,50,150000,121533,28467,11,2587,
180,60,60,60,150000,111564,38436,10,3843,
190,60,60,70,150000,134520,15480,11,1407,
200,60,60,80,150000,131880,18120,10,1812,
210,60,60,90,150000,147042,2958,11,268,
220,60,60,100,150000,111276,38724,8,4840,
140,60,70,10,150000,96140,53860,10,5386,
150,60,70,20,150000,88172,61828,9,6869,
160,60,70,30,150000,84600,65400,8,8175,
170,60,70,40,150000,120893,29107,11,2646,
180,60,70,50,150000,99680,50320,8,6290,
190,60,70,60,150000,107144,42856,9,4761,
200,60,70,70,150000,101804,48196,8,6024,
210,60,70,80,150000,105170,44830,8,5603,
220,60,70,90,150000,135728,14272,9,1585,
230,60,70,100,150000,143775,6225,10,622,
150,60,80,10,150000,79086,70914,8,8864,
160,60,80,20,150000,91884,58116,8,7264,
170,60,80,30,150000,77055,72945,7,10420,
180,60,80,40,150000,78880,71120,6,11853,
190,60,80,50,150000,92720,57280,7,8182,
200,60,80,60,150000,87296,62704,6,10450,
210,60,80,70,150000,90718,59282,6,9880,
220,60,80,80,150000,102760,47240,7,6748,
230,60,80,90,150000,115486,34514,7,4930,
240,60,80,100,150000,108224,41776,7,5968,
160,60,90,10,150000,89208,60792,8,7599,
170,60,90,20,150000,84189,65811,7,9401,
180,60,90,30,150000,77880,72120,6,12020,
190,60,90,40,150000,84735,65265,6,10877,
200,60,90,50,150000,88044,61956,6,10326,
210,60,90,60,150000,92460,57540,6,9590,
220,60,90,70,150000,114840,35160,7,5022,
230,60,90,80,150000,126600,23400,8,2925,
240,60,90,90,150000,102024,47976,6,7996,
250,60,90,100,150000,109836,40164,6,6694,
170,60,100,10,150000,87674,62326,7,8903,
180,60,100,20,150000,84754,65246,6,10874,
190,60,100,30,150000,94120,55880,7,7982,
200,60,100,40,150000,92072,57928,6,9654,
210,60,100,50,150000,92300,57700,6,9616,
220,60,100,60,150000,98124,51876,6,8646,
230,60,100,70,150000,100023,49977,6,8329,
240,60,100,80,150000,106560,43440,6,7240,
250,60,100,90,150000,109560,40440,6,6740,
260,60,100,100,150000,114036,35964,6,5994,
100,70,20,10,150000,124000,26000,31,838,
110,70,20,20,150000,121969,28031,26,1078,
120,70,20,30,150000,158080,-8080,30,-269,
130,70,20,40,150000,207930,-57930,35,-1655,
140,70,20,50,150000,216736,-66736,33,-2022,
150,70,20,60,150000,214270,-64270,30,-2142,
160,70,20,70,150000,221388,-71388,29,-2461,
170,70,20,80,150000,239604,-89604,29,-3089,
180,70,20,90,150000,286880,-136880,32,-4277,
190,70,20,100,150000,322937,-172937,34,-5086,
110,70,30,10,150000,88050,61950,17,3644,
120,70,30,20,150000,108724,41276,19,2172,
130,70,30,30,150000,124062,25938,20,1296,
140,70,30,40,150000,125086,24914,18,1384,
150,70,30,50,150000,133311,16689,18,927,
160,70,30,60,150000,162800,-12800,20,-640,
170,70,30,70,150000,160175,-10175,18,-565,
180,70,30,80,150000,192970,-42970,20,-2148,
190,70,30,90,150000,182770,-32770,18,-1820,
200,70,30,100,150000,191048,-41048,18,-2280,
120,70,40,10,150000,90330,59670,15,3978,
130,70,40,20,150000,106293,43707,16,2731,
140,70,40,30,150000,100224,49776,13,3828,
150,70,40,40,150000,122538,27462,15,1830,
160,70,40,50,150000,137508,12492,16,780,
170,70,40,60,150000,136665,13335,15,889,
180,70,40,70,150000,143904,6096,14,435,
190,70,40,80,150000,150552,-552,14,-39,
200,70,40,90,150000,163242,-13242,15,-882,
210,70,40,100,150000,176244,-26244,15,-1749,
130,70,50,10,150000,67655,82345,9,9149,
140,70,50,20,150000,103740,46260,13,3558,
150,70,50,30,150000,109388,40612,13,3124,
160,70,50,40,150000,110440,39560,12,3296,
170,70,50,50,150000,113176,36824,12,3068,
180,70,50,60,150000,133300,16700,13,1284,
190,70,50,70,150000,133189,16811,12,1400,
200,70,50,80,150000,145824,4176,13,321,
210,70,50,90,150000,149093,907,12,75,
220,70,50,100,150000,162254,-12254,13,-942,
140,70,60,10,150000,95280,54720,11,4974,
150,70,60,20,150000,107027,42973,12,3581,
160,70,60,30,150000,104650,45350,11,4122,
170,70,60,40,150000,83986,66014,8,8251,
180,70,60,50,150000,120900,29100,11,2645,
190,70,60,60,150000,97020,52980,8,6622,
200,70,60,70,150000,118378,31622,10,3162,
210,70,60,80,150000,143411,6589,11,599,
220,70,60,90,150000,146432,3568,11,324,
230,70,60,100,150000,121605,28395,9,3155,
150,70,70,10,150000,64080,85920,7,12274,
160,70,70,20,150000,84096,65904,8,8238,
170,70,70,30,150000,94044,55956,9,6217,
180,70,70,40,150000,91314,58686,8,7335,
190,70,70,50,150000,94848,55152,8,6894,
200,70,70,60,150000,112680,37320,9,4146,
210,70,70,70,150000,109620,40380,8,5047,
220,70,70,80,150000,131142,18858,9,2095,
230,70,70,90,150000,121716,28284,8,3535,
240,70,70,100,150000,131472,18528,9,2058,
